cell_id,y,x,radius_px
0,188.97,496.08,10.28
1,173.09,443.13,7.818
2,189.69,443.42,12.502
3,436.99,484.2,11.521
4,468.93,553.19,11.07
5,324.89,371.74,8.777
6,446.66,495.44,10.061
7,162.16,389.51,8.519
8,360.83,348.15,9.339
9,169.43,463.21,11.576
10,182.99,455.29,6.817
11,488.04,555.03,9.373
12,422.59,480.02,10.108
13,176.61,344.43,8.019
14,419.88,463.05,10.418
15,188.98,26.73,12.399
16,310.07,340.92,11.312
17,338.7,474.69,10.013
18,438.63,460.58,10.418
19,479.37,565.05,7.999
20,420.45,446.56,10.029
21,478.33,587.66,9.575
22,341.77,319.41,7.485
23,169.26,367.1,7.181
24,258.52,117.12,8.612
25,162.84,275.67,10.029
26,220.25,228.43,7.069
27,368.57,326.29,12.14
28,435.53,446.22,6.604
29,447.7,543.44,11.041
30,391.09,297.58,9.08
31,372.94,343.98,8.292
32,185.89,261.71,7.569
33,403.54,476.3,8.519
34,462.2,574.61,12.335
35,301.78,357.8,7.069
36,371.74,443.7,12.578
37,460.68,539.05,9.39
38,137.35,436.53,11.156
39,159.09,514.11,7.464
40,177.94,46.08,8.956
41,221.67,321.01,5.67
42,156.84,354.64,7.878
43,221.53,261.09,7.069
44,139.06,297.21,6.555
45,189.6,277.62,7.159
46,131.84,364.95,8.425
47,166.57,351.22,8.425
48,156.85,260.55,10.202
49,365.92,487.8,8.556
50,398.98,280.26,10.464
51,401.63,464.2,9.097
52,310.18,352.8,4.406
53,260.93,91.27,9.045
54,176.78,324.16,6.956
55,176.2,276.66,7.999
56,178.19,14.86,8.903
57,238.64,213.51,9.508
58,429.91,508.0,10.585
59,383.95,324.88,8.956
60,200.44,255.91,6.77
61,365.89,304.95,8.349
62,228.36,244.79,7.674
63,202.68,266.57,9.458
64,202.1,277.82,6.024
65,188.6,242.65,10.808
66,196.24,249.49,4.652
67,190.42,345.64,7.959
68,214.57,306.91,9.339
69,165.44,307.07,8.938
70,350.83,482.19,8.156
71,173.36,261.48,6.628
72,360.31,275.94,9.805
73,158.1,431.21,9.739
74,210.19,235.06,7.527
75,351.91,322.86,11.396
76,182.79,362.57,10.093
77,417.79,672.13,7.715
78,414.16,325.21,5.585
79,203.99,330.45,8.078
80,357.47,434.33,11.128
81,144.74,259.91,6.433
82,182.35,229.81,9.756
83,342.38,494.94,10.187
84,216.55,296.39,6.155
85,218.31,329.44,5.863
86,322.02,412.45,6.457
87,404.41,291.74,7.399
88,184.51,333.13,8.078
89,385.83,352.4,7.527
90,214.6,192.08,5.698
91,379.73,302.83,5.67
92,402.59,323.53,10.265
93,203.76,340.1,5.917
94,347.5,340.27,6.408
95,218.96,543.42,9.558
96,265.36,68.01,8.867
97,322.3,401.68,6.18
98,190.27,192.85,9.027
99,466.01,526.71,9.132
100,397.92,226.68,6.333
101,188.21,51.66,6.956
102,446.13,420.37,8.098
103,218.77,201.72,5.441
104,409.84,491.0,10.218
105,263.52,14.1,7.247
106,415.7,405.04,7.548
107,193.35,463.8,6.129
108,481.13,647.22,6.433
109,386.95,436.32,9.966
110,329.72,423.12,6.628
111,394.5,347.06,6.232
112,413.74,551.78,7.999
113,398.68,389.28,5.89
114,386.19,387.48,9.184
115,230.89,606.42,9.458
116,434.08,567.53,10.295
117,230.15,582.67,8.482
118,435.49,603.24,7.695
119,501.71,612.99,7.569
120,210.42,551.62,7.979
121,400.23,510.78,7.136
122,301.66,416.44,7.653
123,204.14,570.52,6.979
124,424.61,618.1,5.67
125,211.64,562.83,7.269
126,466.36,511.84,7.136
127,228.13,299.07,4.37
128,410.45,613.27,12.074
129,529.82,669.71,4.918
130,165.98,240.49,4.406
131,412.57,506.46,8.556
132,299.83,184.84,8.292
133,288.9,366.16,3.141
134,168.19,233.14,4.514
135,400.25,499.57,6.817
136,358.03,371.29,10.585
137,311.14,468.55,8.538
138,487.41,597.51,4.853
139,227.88,196.94,3.989
140,254.73,660.09,6.358
141,217.85,578.31,9.772
142,183.89,215.59,4.222
143,386.19,67.42,6.257
144,295.04,215.8,8.311
145,370.72,268.09,4.26
146,441.6,526.02,7.464
147,176.26,213.93,4.787
148,440.18,587.35,6.723
149,260.35,54.24,6.58
150,430.74,524.32,6.507
151,409.89,415.21,5.47
152,350.8,300.67,7.069
153,336.87,58.88,8.292
154,283.58,673.78,5.078
155,391.81,634.84,5.528
156,320.08,439.15,6.482
157,338.53,366.21,4.652
158,323.48,305.69,3.656
159,401.86,556.61,6.555
160,328.47,152.57,9.115
161,289.2,659.42,5.67
162,520.06,637.92,3.949
163,297.51,226.21,3.7
164,338.33,149.88,4.787
165,308.28,196.68,4.26
166,490.12,646.66,4.514
167,362.01,291.15,6.05
168,251.91,28.42,4.26
169,252.03,608.22,7.356
170,140.32,345.06,5.863
171,205.86,350.32,5.293
172,372.83,286.39,4.787
173,354.3,75.61,6.103
174,203.6,580.91,4.107
175,450.2,565.12,7.269
176,348.1,410.58,3.568
177,163.24,322.18,5.171
178,168.32,78.65,4.787
179,212.47,473.33,4.297
