cell_id,y,x,radius_px
0,186.0,98.0,5.192
1,277.0,161.0,8.02
2,134.0,438.0,5.031
3,177.0,385.0,6.171
4,440.0,478.0,4.774
5,277.0,177.0,7.546
6,169.0,485.0,6.872
7,158.0,430.0,3.033
8,521.0,288.0,1.523
9,177.0,345.0,6.692
10,140.0,436.0,4.519
11,338.0,474.0,5.385
12,174.0,442.0,4.899
13,170.0,502.0,5.867
14,445.0,493.0,7.148
15,359.0,347.0,5.866
16,352.0,514.0,6.149
17,177.0,462.0,5.415
18,201.0,489.0,6.682
19,364.0,352.0,5.35
20,449.0,489.0,6.124
21,475.0,550.0,5.785
22,169.0,377.0,5.513
23,458.0,490.0,5.614
